study_id,year,doi,modalidad,title,stage_primary,stage_norm,q2_candidate_abstract,q2_candidate_terms,AI_task_type,notes_coding,integration_approach,integration_trace,decision_timing,decision_timing_trace,review_trace
2,2015,https://doi.org/10.1038/tp.2015.7,No especificado,Searching for a minimal set of behaviors for autism detection through feature selection-based machine learning,Screening,Screening,,,Classification (ASD vs control / multi-class),Usa ADOS/ítems conductuales para detección/cribado; algoritmo principal no explícito.,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
3,2023,https://doi.org/10.1016/j.jprot.2023.104872,No especificado,The use of data independent acquisition based proteomic analysis and machine learning to reveal potential biomarkers for autism spectrum disorder,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Biomarcadores proteómicos en plasma para discriminar ASD vs controles; algoritmo ML no especificado.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
5,2014,https://doi.org/10.1371/journal.pone.0112445,No especificado,Metabolomics as a tool for discovery of biomarkers of autism spectrum disorder in the blood plasma of children,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Metabolómica plasmática para discriminar ASD vs controles; confirmar algoritmo principal en full-text.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
7,2025,https://doi.org/10.1038/s41598-025-90216-8,No especificado,Transformer-based deep learning ensemble framework predicts autism spectrum disorder using health administrative and birth registry data,Prescreening,Prescreening,,,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
13,2023,https://doi.org/10.1155/2023/6330002,No especificado,Feature Signature Discovery for Autism Detection: An Automated Machine Learning Based Feature Ranking Framework,Screening,Screening,,,Classification (ASD vs control / multi-class),Usa puntajes Q-CHAT; framework AutoML/feature ranking no mapea a un algoritmo único.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
14,2017,https://doi.org/10.1126/scitranslmed.aag2882,Texto · NLP,Functional neuroimaging of high-risk 6-month-old infants predicts a diagnosis of autism at 24 months of age,Prognosis,Prognosis,,,Prediction (time-to-event / prognosis),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Risk stratification,Stage or keywords matched risk stratification,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
18,2014,https://doi.org/10.1371/journal.pone.0090405,Multimodal,Multiparametric MRI characterization and prediction in autism spectrum disorder using graph theory and machine learning,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Clasificación ASD vs control con MRI multiparamétrica; también predice rasgos fenotípicos.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
19,2021,https://doi.org/10.1016/j.bpsc.2020.06.003,Señales fisiológicas,Multivariate Neural Connectivity Patterns in Early Infancy Predict Later Autism Symptoms,Prognosis,Prognosis,,,Regression (score / severity / risk),,Risk stratification,Stage or keywords matched risk stratification,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
23,2020,https://doi.org/10.1177/1460458218824711,No especificado,A new machine learning model based on induction of rules for autism detection,Screening,Screening,,,Classification (ASD vs control / multi-class),"Boosting, Bagging, rule induction methods (rules-machine learning framework), Modelo basado en inducción de reglas sobre datasets de cribado; algoritmo fuera del codebook.",Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
27,2025,https://doi.org/10.1016/j.health.2025.100409,Señales fisiológicas,An analytics-driven model for identifying autism spectrum disorder using eye tracking,Screening,Screening,,,Classification (ASD vs control / multi-class),Usa eye-tracking/gaze movement; algoritmo principal no explícito.,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
