study_id,title,year,doi,assigned_to,source_file,source_modality_display,stage_assignments_display,stage_assignment_origin,ai_method_display,algorithm_display_raw,notes_issue_tags,notes_coding
108,Identification of neural connectivity signatures of autism using machine learning,2013,https://doi.org/10.3389/FNHUM.2013.00670/FULL,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Image,Diagnosis,stage_flags,Machine Learning,SVM,Multiple models compared | Primary model chosen from comparisons,Se comparan varios modelos; se eligió el principal/mejor reportado
109,Identifying autism from neural representations of social interactions: Neurocognitive markers of autism,2014,https://doi.org/10.1371/journal.pone.0113879,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Diagnosis,stage_flags,Machine Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
34,Distributed Intrinsic Functional Connectivity Patterns Predict Diagnostic Status in Large Autism Cohort,2017,https://doi.org/10.1089/brain.2017.0496,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Diagnosis,stage_flags,Machine Learning,Random Forest,,Usa conditional random forest sobre rs-fMRI para clasificación diagnóstica.
254,Low-Rank Representation for Multi-center Autism Spectrum Disorder Identification.,2018,https://doi.org/10.1007/978-3-030-00928-1_73,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Image,Diagnosis,stage_flags,Machine Learning,k-NN,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping | Multiple models compared | Primary model chosen from comparisons,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado
267,Risk assessment for parents who suspect their child has autism spectrum disorder: Machine learning approach,2018,https://doi.org/10.2196/jmir.9496,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Text / NLP,Prescreening | Screening,stage_flags,Machine Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
272,Subtyping cognitive profiles in Autism Spectrum Disorder using a Functional Random Forest algorithm,2018,https://doi.org/10.1016/j.neuroimage.2017.12.044,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Multimodal,Diagnosis,stage_flags,Machine Learning,Other / unclear,,Random forest funcional para matriz de proximidad y posterior detección de comunidades/cognitivos subtipos.
80,Artificial intelligence analysis of newborn leucocyte epigenomic markers for the prediction of autism,2019,https://doi.org/10.1016/j.brainres.2019.146457,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Prescreening,stage_flags,Deep Learning,MLP,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
117,A Machine Learning Strategy for Autism Screening in Toddlers,2019,https://doi.org/10.1097/DBP.0000000000000668,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Not specified,Screening,stage_flags,Deep Learning,MLP,,Feedforward neural network aplicado a M-CHAT-R para cribado en toddlers.
206,Overlaps in brain dynamic functional connectivity between schizophrenia and autism spectrum disorder,2019,https://doi.org/10.1016/j.sciaf.2018.e00019,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Multimodal,Diagnosis,stage_flags,Deep Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
79,Applying Machine Learning to Kinematic and Eye Movement Features of a Movement Imitation Task to Predict Autism Diagnosis,2020,https://doi.org/10.1038/s41598-020-65384-4,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Multimodal,Diagnosis,stage_flags,Machine Learning,Other / unclear,,Clasifica ASD vs no-ASD con cinemática y eye-tracking en tarea de imitación.
24,A Novel Grading System for Autism Severity Level Using Task-Based Functional MRI: A Response to Speech Study,2021,https://doi.org/10.1109/ACCESS.2021.3097606,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Audio / Voice,Diagnosis,stage_flags,Machine Learning,Other / unclear,,Gradación de severidad por clases con task-fMRI; clasificadores múltiples no detallados.
112,Structural variants identified using non-Mendelian inheritance patterns advance the mechanistic understanding of autism spectrum disorder,2023,https://doi.org/10.1016/j.xhgg.2022.100150,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Text / NLP,Diagnosis,stage_flags,Not specified,Clustering (k-means / GMM / ...),,Estudio genómico/estructural sin sistema IA clínico claramente codificable en el abstract.
151,Early identification of autism spectrum disorder by multi-instrument fusion: A clinically applicable machine learning approach,2023,https://doi.org/10.1016/j.psychres.2023.115050,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Text / NLP,Diagnosis,stage_flags,Hybrid,XGBoost / GBDT,,Fusión multi-instrumento para identificación temprana; enfoque clínicamente aplicable de cribado.
95,Physician Versus Large Language Model Chatbot Responses to Web-Based Questions From Autistic Patients in Chinese: Cross-Sectional Comparative Analysis,2024,https://doi.org/10.2196/54706,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Text / NLP,Monitoring/intervention,stage_primary_fallback,Deep Learning,Transformer,Outside codebook or forced mapping | Multiple models compared,Compara respuestas de médicos vs LLMs a preguntas web; no mapea claramente a una etapa clínica RQ1.
155,Evaluation of AI tools for healthcare networks at the cloud-edge interaction to diagnose autism in educational environments,2024,https://doi.org/10.1186/s13677-023-00558-9,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Not specified,Screening,stage_flags,Not specified,CNN,Needs full-text confirmation,Discute varias técnicas pero aplica AlexNet sobre rostros en entorno educativo; confirmar diseño final.
172,Using #ActuallyAutistic on Twitter for Precision Diagnosis of Autism Spectrum Disorder: Machine Learning Study,2024,https://doi.org/10.2196/52660,Ambos (piloto),aceptados_300_v2_codificado_RA.xlsx,Text / NLP,Screening,stage_flags,Machine Learning,Logistic Regression,,Clasificación de tweets #ActuallyAutistic; relevancia clínica/etapa RQ1 ambigua.
